Id,Start Master,Commit Master,Start Slave,Commit Slave,End Master,Staleness (Commit Slave – Commit Master),Latency (End Master – Commit Master)
55,22:38:41.886,22:38:41.887,22:38:41.932,22:38:41.932,22:38:41.934,00:00:00.045,00:00:00.047
56,22:38:42.889,22:38:42.889,22:38:42.936,22:38:42.936,22:38:42.937,00:00:00.047,00:00:00.048
57,22:38:43.887,22:38:43.888,22:38:43.936,22:38:43.936,22:38:43.937,00:00:00.048,00:00:00.049
58,22:38:44.888,22:38:44.889,22:38:44.936,22:38:44.936,22:38:44.937,00:00:00.047,00:00:00.048
59,22:38:45.943,22:38:45.943,22:38:45.988,22:38:45.988,22:38:45.989,00:00:00.045,00:00:00.046
60,22:38:46.889,22:38:46.889,22:38:46.936,22:38:46.942,22:38:46.943,00:00:00.053,00:00:00.054
61,22:38:47.948,22:38:47.949,22:38:47.996,22:38:47.996,22:38:47.997,00:00:00.047,00:00:00.048
62,22:38:48.889,22:38:48.889,22:38:48.936,22:38:48.936,22:38:48.937,00:00:00.047,00:00:00.048
63,22:38:49.943,22:38:49.944,22:38:49.992,22:38:49.992,22:38:49.994,00:00:00.048,00:00:00.050
64,22:38:50.889,22:38:50.890,22:38:50.940,22:38:50.942,22:38:50.945,00:00:00.052,00:00:00.055
65,22:38:51.887,22:38:51.888,22:38:51.944,22:38:51.944,22:38:51.945,00:00:00.056,00:00:00.057
66,22:38:52.887,22:38:52.888,22:38:52.932,22:38:52.932,22:38:52.933,00:00:00.044,00:00:00.045
67,22:38:53.898,22:38:53.899,22:38:53.944,22:38:53.944,22:38:53.945,00:00:00.045,00:00:00.046
68,22:38:54.889,22:38:54.891,22:38:54.936,22:38:54.936,22:38:54.938,00:00:00.045,00:00:00.047
69,22:38:55.891,22:38:55.892,22:38:55.944,22:38:55.944,22:38:55.945,00:00:00.052,00:00:00.053
70,22:38:56.904,22:38:56.904,22:38:56.948,22:38:56.949,22:38:56.949,00:00:00.045,00:00:00.045
71,22:38:57.892,22:38:57.893,22:38:57.901,22:38:57.901,22:38:57.902,00:00:00.008,00:00:00.009
72,22:38:58.914,22:38:58.915,22:38:58.964,22:38:58.964,22:38:58.965,00:00:00.049,00:00:00.050
73,22:38:59.943,22:38:59.944,22:38:59.988,22:38:59.988,22:38:59.989,00:00:00.044,00:00:00.045
74,22:39:00.943,22:39:00.943,22:39:00.988,22:39:00.988,22:39:00.989,00:00:00.045,00:00:00.046
75,22:39:01.891,22:39:01.891,22:39:01.936,22:39:01.936,22:39:01.939,00:00:00.045,00:00:00.048
76,22:39:02.948,22:39:02.948,22:39:02.956,22:39:02.956,22:39:02.959,00:00:00.008,00:00:00.011
77,22:39:03.912,22:39:03.913,22:39:03.956,22:39:03.957,22:39:03.958,00:00:00.044,00:00:00.045
