ClientStart,MasterStart,MasterCommit,MasterBackToClient,SlaveStart,SlaveCommit,ClientEnd,Latency (ClientEnd – ClientStart),Staleness (SlaveCommit – MasterCommit)
13:53:12.619,13:53:12.863,13:53:12.864,13:53:12.910,13:53:12.878,13:53:12.879,13:53:12.892,00:00:00.273,00:00:00.015
13:53:13.619,13:53:13.832,13:53:13.833,13:53:13.882,13:53:13.850,13:53:13.851,13:53:13.867,00:00:00.248,00:00:00.018
13:53:14.619,13:53:14.824,13:53:14.824,13:53:14.873,13:53:14.842,13:53:14.842,13:53:14.857,00:00:00.238,00:00:00.018
13:53:15.619,13:53:15.790,13:53:15.790,13:53:15.837,13:53:15.806,13:53:15.806,13:53:15.820,00:00:00.201,00:00:00.016
13:53:16.619,13:53:16.828,13:53:16.829,13:53:16.878,13:53:16.846,13:53:16.848,13:53:16.861,00:00:00.242,00:00:00.019
13:53:17.620,13:53:17.819,13:53:17.819,13:53:17.869,13:53:17.838,13:53:17.838,13:53:17.852,00:00:00.232,00:00:00.019
13:53:18.620,13:53:18.743,13:53:18.745,13:53:18.793,13:53:18.762,13:53:18.762,13:53:18.776,00:00:00.156,00:00:00.017
13:53:19.620,13:53:19.962,13:53:19.963,13:53:20.009,13:53:19.978,13:53:19.978,13:53:19.993,00:00:00.373,00:00:00.015
13:53:20.620,13:53:20.748,13:53:20.752,13:53:20.802,13:53:20.770,13:53:20.770,13:53:20.785,00:00:00.165,00:00:00.018
13:53:21.620,13:53:21.783,13:53:21.784,13:53:21.833,13:53:21.802,13:53:21.802,13:53:21.815,00:00:00.195,00:00:00.018
13:53:22.621,13:53:22.787,13:53:22.788,13:53:22.833,13:53:22.802,13:53:22.802,13:53:22.815,00:00:00.194,00:00:00.014
13:53:23.621,13:53:23.826,13:53:23.827,13:53:23.873,13:53:23.842,13:53:23.842,13:53:23.864,00:00:00.243,00:00:00.015
13:53:24.621,13:53:24.812,13:53:24.812,13:53:24.868,13:53:24.834,13:53:24.837,13:53:24.851,00:00:00.230,00:00:00.025
13:53:25.621,13:53:25.812,13:53:25.812,13:53:25.820,13:53:25.789,13:53:25.789,13:53:25.802,00:00:00.181,23:59:59.977
13:53:26.622,13:53:26.750,13:53:26.750,13:53:26.797,13:53:26.766,13:53:26.766,13:53:26.779,00:00:00.157,00:00:00.016
13:53:27.622,13:53:27.821,13:53:27.822,13:53:27.869,13:53:27.838,13:53:27.838,13:53:27.852,00:00:00.230,00:00:00.016
13:53:28.622,13:53:28.781,13:53:28.782,13:53:28.829,13:53:28.798,13:53:28.798,13:53:28.811,00:00:00.189,00:00:00.016
13:53:29.622,13:53:29.752,13:53:29.752,13:53:29.798,13:53:29.766,13:53:29.767,13:53:29.821,00:00:00.199,00:00:00.015
13:53:30.622,13:53:30.816,13:53:30.820,13:53:30.869,13:53:30.838,13:53:30.839,13:53:30.852,00:00:00.230,00:00:00.019
13:53:31.622,13:53:31.833,13:53:31.834,13:53:31.890,13:53:31.858,13:53:31.858,13:53:31.886,00:00:00.264,00:00:00.024
13:53:32.622,13:53:32.815,13:53:32.816,13:53:32.865,13:53:32.830,13:53:32.830,13:53:32.847,00:00:00.225,00:00:00.014
13:53:33.622,13:53:33.791,13:53:33.792,13:53:33.837,13:53:33.806,13:53:33.806,13:53:33.820,00:00:00.198,00:00:00.014
13:53:34.622,13:53:34.791,13:53:34.791,13:53:34.837,13:53:34.806,13:53:34.806,13:53:34.820,00:00:00.198,00:00:00.015
13:53:35.622,13:53:35.828,13:53:35.828,13:53:35.873,13:53:35.842,13:53:35.842,13:53:35.856,00:00:00.234,00:00:00.014
13:53:36.622,13:53:36.811,13:53:36.811,13:53:36.865,13:53:36.834,13:53:36.834,13:53:36.847,00:00:00.225,00:00:00.023
13:53:37.622,13:53:37.740,13:53:37.741,13:53:37.789,13:53:37.758,13:53:37.758,13:53:37.772,00:00:00.150,00:00:00.017
13:53:38.622,13:53:38.749,13:53:38.750,13:53:38.798,13:53:38.766,13:53:38.767,13:53:38.805,00:00:00.183,00:00:00.017
13:53:39.622,13:53:39.891,13:53:39.892,13:53:39.941,13:53:39.910,13:53:39.910,13:53:40.030,00:00:00.408,00:00:00.018
13:53:40.623,13:53:41.074,13:53:41.075,13:53:41.121,13:53:41.090,13:53:41.090,13:53:41.170,00:00:00.547,00:00:00.015
13:53:41.623,13:53:41.765,13:53:41.765,13:53:41.813,13:53:41.782,13:53:41.782,13:53:41.796,00:00:00.173,00:00:00.017
13:53:42.623,13:53:42.830,13:53:42.831,13:53:42.877,13:53:42.846,13:53:42.846,13:53:42.859,00:00:00.236,00:00:00.015
13:53:43.624,13:53:43.779,13:53:43.780,13:53:43.827,13:53:43.794,13:53:43.794,13:53:43.810,00:00:00.186,00:00:00.014
13:53:44.624,13:53:44.823,13:53:44.824,13:53:44.833,13:53:44.802,13:53:44.802,13:53:44.815,00:00:00.191,23:59:59.978
13:53:45.624,13:53:45.795,13:53:45.796,13:53:45.841,13:53:45.810,13:53:45.810,13:53:45.824,00:00:00.200,00:00:00.014
13:53:46.625,13:53:46.881,13:53:46.881,13:53:46.929,13:53:46.898,13:53:46.898,13:53:46.942,00:00:00.317,00:00:00.017
